Module,Time,Vat,Cyt
6,2020-01-02 20:49:53.287957,0.576,1.0
6,2020-01-02 20:49:54.646503,0.576,1.0
6,2020-01-02 20:49:55.929442,0.554,1.0
6,2020-01-02 20:49:57.121963,0.558,1.0
6,2020-01-02 20:49:58.177465,0.538,1.0
6,2020-01-02 20:49:59.388862,0.557,1.0
6,2020-01-02 20:50:00.723074,0.517,1.0
6,2020-01-02 20:50:02.023320,0.497,1.0
6,2020-01-02 20:50:03.709710,0.556,1.0
6,2020-01-02 20:50:09.078500,0.556,5.0
6,2020-01-02 20:56:05.871787,0.396,356.0
6,2020-01-02 20:56:07.423359,0.577,1.0
6,2020-01-02 20:56:09.784001,0.497,2.0
6,2020-01-02 20:56:11.352015,0.56,1.0
6,2020-01-02 20:56:13.222508,0.596,1.0
6,2020-01-02 20:56:14.632983,0.556,1.0
6,2020-01-02 20:56:16.443056,0.556,1.0
6,2020-01-02 20:56:18.274241,0.555,1.0
6,2020-01-02 20:56:20.399861,0.516,2.0
6,2020-01-02 20:56:22.605608,0.517,2.0
6,2020-01-02 20:56:33.000274,0.557,10.0
6,2020-01-02 21:05:00.973280,0.576,507.0
6,2020-01-02 21:05:02.764292,0.458,1.0
6,2020-01-02 21:05:03.993318,0.438,1.0
6,2020-01-02 21:05:05.201148,0.396,1.0
6,2020-01-02 21:05:06.272792,0.398,1.0
6,2020-01-02 21:05:07.383901,0.438,1.0
6,2020-01-02 21:05:08.493860,0.42,1.0
6,2020-01-02 21:05:09.701025,0.419,1.0
6,2020-01-02 21:05:11.134737,0.438,1.0
6,2020-01-02 21:05:12.492107,0.417,1.0
6,2020-01-02 21:05:21.109139,0.416,8.0
